序号,性别,学历,年龄,品牌官方旗舰店,知识型主播,明星直播间,中小商家直播间,搞笑欢快型直播间,公益助农直播间,工厂直销直播间,原产地直供,知识科普型带货,绿色环保产品推广,老年人友好型内容,VR/AR直播,健康养生直播,商品质量与描述不符,虚假宣传,售后服务差,平台监管不力,价格虚高,购物流程复杂
1,2,3,2,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0
2,2,3,2,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1
3,1,1,3,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
4,2,3,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
5,2,3,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0
6,2,2,3,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1
7,2,3,2,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0
8,1,3,3,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0
9,2,3,2,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1
10,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,2,3,2,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1
12,2,2,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
13,2,2,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
14,2,3,2,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0
15,2,2,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1
16,2,3,2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
17,1,2,3,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1
18,1,2,3,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1
19,1,3,3,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1
20,1,4,4,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0
21,2,3,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
22,1,3,4,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0
23,1,2,3,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1
24,2,2,4,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
25,2,2,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1
26,1,4,3,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1
27,2,2,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1
28,1,3,2,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1
29,1,2,4,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1
30,2,3,2,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
31,2,2,4,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1
32,2,2,3,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1
33,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,2,3,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0
35,1,3,3,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0
36,1,2,3,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1
37,2,3,4,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0
38,2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
39,2,3,3,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1
40,2,2,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1
41,2,3,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1
42,1,3,2,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1
43,2,3,2,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0
44,1,4,4,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0
45,2,3,2,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0
46,2,3,2,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
47,2,3,2,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0
48,1,3,4,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1
49,1,2,3,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0
50,2,2,3,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1
51,2,3,3,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0
52,1,2,3,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
53,1,4,3,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1
54,2,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0
55,2,3,2,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0
56,2,2,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1
57,2,2,4,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1
58,1,3,3,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1
59,1,4,2,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0
60,2,3,2,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1
61,1,1,4,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1
62,2,2,2,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1
63,2,2,4,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1
64,1,1,4,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1
