性别,学历,年龄,品牌官方旗舰店,知识型主播,明星直播间,中小商家直播间,搞笑欢快型直播间,公益助农直播间,工厂直销直播间,原产地直供,知识科普型带货,绿色环保产品推广,老年人友好型内容,VR/AR直播,健康养生直播,商品质量与描述不符,虚假宣传,售后服务差,平台监管不力,价格虚高,购物流程复杂,Cluster
2,3,2,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0
2,3,2,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0
1,1,3,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,2
2,3,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
2,3,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0
2,2,3,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,2
2,3,2,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0
1,3,3,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1
2,3,2,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0
2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
2,3,2,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0
2,2,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
2,2,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,2
2,3,2,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0
2,2,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,2
2,3,2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
1,2,3,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1
1,2,3,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1
1,3,3,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1
1,4,4,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1
2,3,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0
1,3,4,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0
1,2,3,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1
2,2,4,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2
2,2,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,2
1,4,3,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0
2,2,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,2
1,3,2,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1
1,2,4,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,2
2,3,2,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0
2,2,4,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,2
2,2,3,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,2
2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,3,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1
1,3,3,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1
1,2,3,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,2
2,3,4,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0
2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,2
2,3,3,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0
2,2,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,2
2,3,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0
1,3,2,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0
2,3,2,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0
1,4,4,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1
2,3,2,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0
2,3,2,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
2,3,2,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0
1,3,4,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1
1,2,3,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,2
2,2,3,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,2
2,3,3,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0
1,2,3,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,2
1,4,3,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0
2,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0
2,3,2,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0
2,2,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,2
2,2,4,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,2
1,3,3,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1
1,4,2,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0
2,3,2,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0
1,1,4,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1
2,2,2,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,2
2,2,4,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,2
1,1,4,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1
2,2,4,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,2
2,2,2,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,2
1,1,4,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1
2,2,4,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,2
2,2,2,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0
2,3,2,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0
1,3,2,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1
2,2,3,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,2
2,3,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
2,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2
2,2,3,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,2
1,4,3,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1
1,3,3,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1
1,3,3,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0
1,1,3,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
1,4,3,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0
2,2,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,2
2,3,2,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0
2,2,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,2
2,2,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,2
2,3,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0
1,3,3,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1
1,3,2,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0
2,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,2
1,4,3,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1
1,3,2,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1
2,3,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0
1,3,3,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1
2,3,2,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0
2,2,4,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,2
