序号,Y营销策略的影响程度,X1(商品质量),X2(商品独特性),X3(商品影响力),X4(商品性价比),X5(促销活动吸引力),X6(商品福利),X7(互动程度),X8(平台口碑),X9(平台规则完善度)
1,4,3,2,2,4,4,2,5,1,2
2,4,3,5,5,3,3,3,3,3,3
3,3,3,5,5,3,3,3,3,1,5
4,4,5,4,4,5,4,5,1,3,3
5,3,3,3,2,3,3,3,5,4,4
6,4,3,3,3,4,4,3,3,2,5
7,3,3,4,4,3,3,3,3,2,2
8,3,3,4,4,3,3,3,3,5,5
9,2,2,1,1,2,2,2,3,2,2
10,3,3,4,4,3,3,2,3,4,4
11,1,2,3,3,2,2,2,1,2,2
12,2,2,3,3,2,2,2,2,3,3
13,5,5,3,3,5,5,5,4,4,4
14,4,4,4,4,4,4,4,4,5,3
15,5,5,4,4,5,5,5,4,4,4
16,4,4,4,2,4,4,4,4,3,3
17,4,4,3,3,4,4,4,4,2,2
18,5,5,3,3,5,5,5,4,3,3
19,2,2,2,2,2,2,2,2,1,1
20,4,4,5,5,4,4,4,4,3,3
21,3,3,4,4,3,3,3,4,1,1
22,4,4,3,3,4,4,4,4,5,5
23,4,3,5,5,4,4,3,3,2,2
24,3,3,2,2,3,3,3,2,2,2
25,5,4,4,4,4,4,4,4,1,1
26,5,5,4,4,5,5,3,5,3,3
27,3,3,4,4,3,3,3,4,1,1
28,4,4,4,4,4,4,4,5,3,3
29,5,5,3,3,5,5,5,4,3,3
30,4,4,5,5,4,4,4,4,1,1
31,2,2,3,3,2,2,2,1,1,1
32,4,3,4,4,3,3,3,3,3,3
33,5,5,3,3,5,5,5,4,1,4
34,3,3,3,4,3,3,3,3,4,4
35,5,5,3,3,5,5,5,4,3,3
36,5,3,3,3,3,5,3,4,2,2
37,4,3,5,5,3,4,3,3,2,4
38,5,5,2,2,5,5,5,5,3,3
39,2,2,2,2,2,2,2,2,4,4
40,3,3,4,4,3,3,3,3,3,3
41,2,2,2,2,2,2,2,4,4,4
42,4,4,4,4,4,4,4,3,5,5
43,5,5,3,3,5,5,5,3,2,2
44,3,3,4,4,3,3,1,3,4,4
45,5,5,3,3,5,5,5,5,4,4
46,3,3,5,5,3,3,3,4,5,5
47,5,3,4,4,5,5,3,5,3,3
48,3,3,4,4,3,3,3,3,5,3
49,3,3,4,4,3,3,3,4,4,4
50,3,3,4,4,3,3,3,3,5,5
51,3,3,5,5,3,3,3,4,4,4
52,5,5,2,2,5,5,5,4,2,2
53,4,4,3,3,4,4,4,3,3,3
54,5,5,4,4,5,5,5,4,3,3
55,4,3,3,3,3,3,3,5,1,1
56,3,3,4,4,3,3,3,4,4,4
57,4,4,5,5,4,4,4,3,3,3
58,4,3,4,3,3,3,3,4,5,5
59,4,4,5,5,4,4,4,5,3,3
60,5,5,3,3,5,5,5,4,2,2
61,5,5,4,4,5,5,5,4,4,4
62,4,4,3,3,4,4,4,4,5,5
63,5,3,3,3,3,5,3,4,4,4
64,5,5,3,3,5,5,5,3,1,1
65,3,2,3,3,3,3,1,5,1,5
66,5,2,3,3,2,5,2,4,4,4
67,2,2,1,1,2,2,2,3,4,2
68,1,1,4,4,1,1,1,5,1,1
69,3,3,4,4,3,3,3,4,4,4
70,5,5,3,3,5,5,5,4,1,1
71,3,3,5,5,3,3,3,4,4,4
72,1,1,3,3,1,1,1,2,3,3
73,2,2,3,3,2,2,2,2,2,2
74,4,4,3,3,4,4,4,3,4,4
75,1,1,2,2,1,1,1,2,5,5
76,2,2,1,1,2,2,2,2,4,4
77,3,3,4,4,3,3,3,4,4,4
78,3,1,2,2,3,3,1,1,1,3
79,5,5,1,3,5,5,4,5,4,4
80,3,3,5,5,3,3,3,3,2,2
81,5,5,4,4,5,5,5,4,2,2
82,5,5,2,2,5,5,5,3,4,4
83,3,3,2,2,3,3,3,1,2,2
84,3,3,3,3,3,3,3,2,5,2
85,4,4,4,2,4,4,4,3,4,4
86,5,5,4,4,5,5,5,3,2,2
87,4,4,5,5,4,4,4,4,1,1
88,4,4,4,2,4,4,4,4,2,4
89,4,2,5,5,2,4,2,3,2,2
90,5,3,5,5,4,4,3,4,4,4
91,4,4,5,5,4,4,4,4,2,2
92,4,3,3,3,3,3,3,3,1,4
93,3,3,4,4,3,3,3,5,5,5
94,4,4,4,1,4,4,4,3,5,5
95,4,4,4,4,4,4,4,4,2,4
96,5,5,3,3,5,5,5,4,4,4
97,3,3,4,4,3,3,3,3,3,3
98,4,4,4,4,4,4,2,4,3,3
99,1,1,2,2,1,1,1,2,2,2
100,1,1,2,3,1,1,1,2,4,1
101,4,4,3,3,4,4,4,5,1,4
102,4,4,3,3,4,4,4,4,3,3
103,5,5,5,5,5,5,5,4,3,3
104,4,4,3,3,4,4,4,3,5,5
105,3,3,2,2,3,3,3,2,1,3
106,3,3,1,1,3,3,3,2,2,2
107,4,4,4,4,4,4,4,3,1,4
